Name,Party,Constituency,Date of Birth,Education
Aremu Yahaya,GNPP,Ilorin East,01/09/41,
Isaac Ayodeji Olaleru,UPN,Oyun,06/01/37,
Musa Inuwa,GNPP,Borgu,02/01/1934,Northern Dispenser Cert
Jimoh Damisa,NPN,Okehi Adavi,14/04/45,
Adewara Lawal,UPN,Ifelodun,08/08/1949,B.Sc in Political Science
O. Sanda Muhammudu,NPN,Ilorin West,1928,
Peter Olayemi Obaoye,UPN,Irepodun,06/12/44,
Salawu Atima,NPN,Okehi-Isunwe,23/09/44,
Shuaibu Julde,NPN,Edu,1941,
Stephen B. Abodunde,UPN,Oyi,06/03/37,"PGD, Diploma in French"
Addullahi Umaru,NPN,Kogi,,Diploma Sec. Studies
Yunusa Folorunsho,NPN,Asa,17/03/40,B.Sc Sociology
Yusuf A. Amoka,NPN,Okene,1927,
Yusuf Ibn Muhammed,UPN,Moro,08/08/51,Diploma in French
Samuel O. Adesida,UPN,Shomolu,06/01/31,SSCE
A. G. O. Ajimotokan,,Ikeja,,
