Name,Party,Constituency,Date of Birth,Education
Pastor Alex Ikor Akam,PDP,Biase/Akampa,October 1960,Bachelor of Science (Ed.) Degree in Law
Obeton Okon Obeten,PDP,Yakurr/Abi,October 1956,Bachelor of Law
Gbinije O. Napoleon,PDP,Okpe/Sapele/Uvwie,July 1966,Degree and OND
Ogor L. Okuweh,PDP,Isoko North/South,June 1959,AIBI Qualification
John Halims O. Agoda,PDP,Ethiope,January 1962,"Bachelor's Degree in Law, Barrister at Law"
Temi Harriman,PDP,Warri,January 1963,Master in Business Admin.
Tamarautare Brisibe,PDP,Burutu,April 1954,Bachelor of Science Degree in Economics
Mercy Almona-Isei JP,PDP,Ndokwa/Ukwani,"August 24, 1951",Masters Degree (MA) in Mass Communication
Mutu Nicholas Ebomo,PDP,Bomadi/Patani,June 1960,Bachelors Degree in Business
Ojougboh Cairo,PDP,Ika,September 1959,MBBS
Adigwe Lord-Michael,PDP,Aniocha Oshimili,August 1965,Bachelor of Science in Statistics
Chris O. Chiovwen,PDP,Ughelli/Udu,July 1958,MBBS
Ibom Irem Oka,PDP,Afikpo North/South,April 1961,B.Sc (Hons) Economic
Aroh Eusebius Aroh,PDP,Ohaozara/Onicha/Ivo,March 1963,B.Sc (in View)
Jonathan I. Eze,PDP,Ezza North/Ishielu,March 1962,"AIMLS, Clinical Microbiology"
Nwofe Alexander,PDP,Abakaliki/Izzi,August 1961,"Bachelors Degree in Law, Barrister at Law"
