Name,Party,Constituency,Date of Birth,Education
Aliyu Ahmed Yako,SDP,Kiru,,
Sani Aliyu,SDP,,,
Musa Sulaiman Shanono,NRC,Shanono,1949,"H.N.D; P&S, in History"
Wada Yola,SDP,Kano Municipality,,
Jibo Ishaku Gasgena,NRC,Kingbir,,
Mustapha Bature Sani,NRC,Batsari,1956,A Graduate of English/Ed.
Bala Aliyu Kuki,SDP,Dutsin-Ma,1952,NCE
Kabir Jibrin Tandama,NRC,Danja,,Graduate
Tukur Bello Kankara,NRC,Kankara,31/01/1956,Diploma Hotel and Mgt
Bashir Danjuma,NRC,Kurfe,"June 22, 1966",He studied Hausa/Arabic
Aminu Lawal Zango,SDP,Zango,31/01/1958,Graduate
Kallah Yahaya Kayawa,NRC,Mashi,1947,HND in Animal Science
Kabir A. Damusa,NRC,Safana,25/09/1958,History Graduate
Umar Adamu,SDP,Rimi,"May 15, 1956",First School Leaving Cert.
Abdul Umar Yandoma,SDP,Ingawa,03/07/1953,"MBBS, FRCS."
Garba Sule Tabanni,NRC,Musawa,1954,Read Hausa/Arabic
