Name,Party,Constituency,Date of Birth,Education
Audu Iliya Galiya,NPN,Wukari,01/01/1940,
Gilama Gayus,UPN,Numan,1926,
Kajal Bitrus Bzigu,GNPP,Mubi,15/05/1943,
Wachuku Jaja Anucha,NPP,Aba,01/01/1918,
Anyanwu Tony,NPP,Owerri,24/12/1941,
Echeruo Emeka Patrick,NPP,Okigwe,11/06/1939,
Emezie Elijah Ebonine,NPP,Orlu,11/02/1933,
Ojukwu Simeon Mba,NPP,Umuahia,03/03/1921,
Madaki Jacob Kure,NPN,Kachia/Jemaa/Saminaka,08/1938,
Ali Abba,NPN,Katsina/Dutsinma,07/01/1940,
Bakori Bello,PRP,Malumfashi/Funtua,1944,
Daura Yusuf Aliyu,NPN,Daura/Mani/Kankiya,12/04/1934,
Ibrahim Barau,NPN,,,
Zakari Ahmed,PRP,Kano North-East,1939,
Bakin Zuwo Sabo,PRP,Kano Central,1934,
Dambatta Usman Alto,PRP,Kano North-Central,1932,
