Name,Party,Constituency,Date of Birth,Education
Sani Bawa Argungu,APP,Argungu/Aguie,1959,HND in Building
Ibrahim Aliyu Gwandu,APP,Gwandu/Aliero/Jega,15/05/1946,Masters Degree in Public Administration
Sani Stephen Abdul E.,PDP,Okene/Ogori-Magongo,03/01/1942,Masters Degree in Guidance & Cancelling
Ojo Olorunshola,PDP,Yauba East/West/ Modamuko,10/12/1952,Bachelor of Law Degree
Saliu Abdulkareem,AD,Adaui/Okehi,27/05/1958,Bachelors Degree in Mass Communications
Adamu Osuku Musa,APP,Lokoja/Kogi/KK,07/05/1957,Bachelor of Law Degree
Itaka Frank Ineke,APP,Idah/Ofu/Ibaji/ Igala-Lamela-Odolu,19/09/1958,Bachelor of Law Degree & Masters Degree in International Law
Ojo Samuel Abiodun,PDP,Ijumu/Kabba-Bunu,25/12/1953,HND in Business Admn.
Abimaje Muazu,APP,Ankpa Olamaboro Omala,16/06/1957,WAEC
Adamu Ahmadu Samari,APP,Ajaokuta,22/08/1944,OND
Isaac Ruzama Jimba,APP,Bassa/Dekina,02/10/1948,Advance Diploma in Public Administration
Rauf Kalawole Shittu,APP,Offa/Oyun/Ifelodun,18/11/1950,Bachelor Degree in Civil Engineering
Yahaya Ahmed Yinusa,PDP,Edu/Moro/Patigi,06/06/1957,Final C & G Licentiateship
Ibrahim Bio Isa,APP,Baruten/Kaiama,24/05/1957,Bachelor Degree in Pharmacy
Farouk A. O. Sarouk,APP,Ilorin East/South,05/12/1956,MBA in Business Administration (Marketing)
Oni Bashir Bola,APP,Ekiti/Isin/Irepodun/Oke-Ero,22/10/1967,Bachelors Degree in Political Science
