Name,Party,Constituency,Date of Birth,Education
Usman Sanni,,K/Namoda,,
Ali Na Alhaji Shehu,,Birni Kebbi,,
Mohammadu Shera,,Arewa-Dandi,,Diploma in Vet. Sci
Ibrahim Shuaibu,,Dunge-Shuni,,
Umaru A. Shuni,,Aghida/Wurno,,
Ibrahim Sudan,NPN,Maradun,04/12/49,Teachers Grade II
Ahawadu Wali Binji,NPN,Binji-Silame,,
Garba M. Tambari,NPN,Maradun,1957,
Ahmed T. Wamako,NPN,Cumbi-Wamakko,1925,
Maiturare Yabo,NPN,Yabo,12/12/48,
Mohammed A. Yelwa,GNPP,Yauri,20/07/1937,Teachers Grade II
Bello Mohammed,NPN,Illela,10/04/53,
Musa Abdullahi Jega,GNPP,Maiyawa,1952,
Sani Dandare Kalgo,NPN,Bunza-Kalgo,05/04/48,
Mohammadu Ladan,NPN,Bodinga,01/06/44,
Aliyu Lugga,NPN,Gusau,,
