Name,Party,Constituency,Date of Birth,Education
Abdullahi Moh'd Bakoji,PDP,Makarfi/Kudan,October 1966,Diploma Certificate
Saudatu A. Sani,PDP,Lere,May 1954,HND in Nutrition
Tijani Sani Paki,PDP,Ikara/Kubau,March 1957,HND in Civil Engineering
Gwani Gideon,PDP,Kaura,October 1964,MSc. In Architecture
Ahmed Haladu,PDP,Bichi,December 1961,National Certificate in Education
Sulaiman Abdurahaman,ANPP,Sumaila/Takai,March 1968,Diploma in Educational Management
Bako Sarai,PDP,Dawakin-Kudu/Warawa,October 1952,Master of Science in Engineering
Jazuli Imam Galadanci,ANPP,Gwale,September 1961,Master of Business Admin.
Farouk Muhammed Lawan,,Bagawai/Shanono,July 1962,"BA English, M.A. English, PGDM"
Shehu U. Aliyu,PDP,Karaye/Rogo,January 1969,"HND, Community Health"
Balarabe Wakili,ANPP,Nasarawa,,HND Marketing
Mohammed Abubakar,ANPP,Tarauni,July 1968,WAEC
Shehu Haruna Lambu,PDP,D/Tofa/Tofa/ Rimin-Gado,April 1964,B.Sc. In Education (Integrated Science)
Ahmed M. Salik,ANPP,Dala,June 1956,"BSc, MA & Doctor of Philosophy"
Usman A. Mohammed,ANPP,Gaya/Albasu/Ajingi,October 1964,M.Sc. in Business Admin. & Post Graduate Dip.
Hamza Zakari Gwarzo,ANPP,Gwazo-Kabo,November 1950,Grade II Teachers Cert. Elementary Cert. in Land Surv.
