Name,Party,Constituency,Date of Birth,Education
J. O. Odebumi,NPN,Ogbomoso South,15/08/35,
Stephen Ade Odetoyinbo,UPN,Osogbo North,11/11/29,
Michael A. Ojo,UPN,Irepodun,08/03/36,
Amos Okunlola Dairo,UPN,Odo/Otin,28/08/28,Teacher Grade II Cert.
B. O. Olabode,UPN,Ogbomoso North,22/04/36,
Oladepo Olaniyan,UPN,Irepodun,01/04/41,
L. B. Olaniran,UPN,Akinyele West,15/02/36,
Olubisi Olarewaju,UPN,Oranmiyan North,19/03/32,
A. O. Omisore,UPN,Oranmiyan Central,15/02/25,
Babatunde Omole,UPN,Ibadan West,10/12/24,
Adesina L. Onaolapo,UPN,Ibadan South,20/01/39,
J. Oyedeji Opakanmi,UPN,Iwo North,01/12/28,
Olatinwo Otegbeye,,Lagelu North,,
Oluwole Oyatoba,UPN,Oyo South,25/04/38,
B. O. Raji,,Ibadan Central,,
S. A. Siyanbola,,Ede South,,
