Name,Party,Constituency,Date of Birth,Education
Esu Tony Ibana,PDP,Ikot Ekpene/Essein Udim/ Ubot Akara ibana,04/08/1959,MBA in Finance
Emaeyak N. Ukpong,PDP,Uyo/Uruan/Nsit Ata/ Ibeskip Asutan,26/04/1956,Ph.D in Industrial/ Environmental Microbiology
Nduese Essein,PDP,Eket,02/02/1944,B.Sc (Hons.) in Business Administration
Akpan Eno Sampson,PDP,Ukanafun/orukanam,25/07/1954,"HND, NNA"
Eyo Eno Akaninyene,APP,Abak,23/11/1966,Diploma (FIBAC) in Physiology /Pharmacology
Udoh Bernard A. U.,PDP,Ikot Abasi/Mkpatenin/ Eastern Obolo,16/10/1962,Business Management
Ita Solomon,PDP,Itu/Ibiono Ibom,23/08/1962,Bachelor of Law Degree
Udoh Esio Oquong,PDP,Oron/Mbo/Okobo/Urue Offong/Oruko/Udung-Uko,13/04/1953,Doctoral Degree in General Medicine
Minimah Iquo Iyang,PDP,Ikono/Ini,28/09/1965,Bachelor of Law Degree
Bassey Asuquo Emah,PDP,Etinan,21/05/1956,Bachelor of Law Degree
Ikpeazu Lynda Chuba,PDP,Onitsha North/South,22/06/1965,Bachelor Degree in Communication
Okeke Fredrick A. U.,PDP,Ihiala,26/09/1945,Master Degree in Business Law
Offodile Chudi,PDP,Awka North/South,19/11/1964,Bachelor of Law Degree & Post Graduate Diploma (Marketing)
Nnanyelugo Chukwu Chikelu,PDP,Anaocha/Njikoka/ Dunukofia,10/10/1966,Bachelor of Science Degree in Political Science & Public Admin.
Uzoka Okwudili,,Ogbaru,26/10/1942,"Bachelor of Science in Agric., Economics"
Duru Chidi Okechukwu,PDP,Aguta,12/11/1966,Bachelor of Law Degree
