Name,Party,Constituency,Date of Birth,Education
Peter Ndalikali Jiya,PDP,Bida/Gbako/Katcha,05/06/1958,Bachelor of Law Degree
Abdullahi Musa,PDP,Chanchaga,20/04/1964,Bachelors Degree (BSC) in Management Studies
Umar A. Ahmed,PDP,Rijau/Magama,01/06/1967,Bachelors Degree in Hausa
Babangida Umar,PDP,Kontagora Mariga Wushishi Mashegu,,HND
Abubakar Bawa Bwari,PDP,Gurara/Suleja/Tapa,11/11/1963,Masters Degree (MSC) in Urban and Regional Planning
Umaru Tanko Kuta,PDP,Shiroro/Rafi/Munya,03/07/1964,OND
Dan-Musa A. Alhassan,PDP,Agwara/Borgu,1959,HND in Nursing
Yakubu Salihu,PDP,Bosso/Paikoro,,
Kamaorun Alabi Odutan,AD,Egbado South & Ipokia,23/05/1955,HND in Secretarial Administration
Onamusi Onadeko,AD,Ogun East,20/06/1960,HND in Petroleum Marketing
Olabode Mustapha,AD,Abeokuta North/Odeba/ Obafemi-Owode,12/03/1950,Bachelors Degree in Business and Public Relations
Olokun Babatunde,AD,"Remo (Sagamu, Ikeje, Remo North)",,"Doctoral Degree, Doctor of Jurisprudence in Law"
Collins Abayomi Sowande,AD,Ifo/Ewekopo,10/02/1950,"Bachelors Degree in Mech. Engineering, Petroleum Processing"
Amusa Suraj Adedeji,AD,Ijebu Ode/Odogbolu/ Ijebu North,09/09/1963,NCE in Business Education (Accountancy)
Ashamu Owolabi,AD,Imeko Afon/Yewa North,22/08/1963,SSCE Certificate
Abraham Lanare Laoshe,AD,Abeokuta South,20/11/1956,Bachelors Degree in Agriculture
