Name,Party,Constituency,Date of Birth,Education
M. Rabiu Is'Haq,NPN,Abuja,18/03/38,
Tajudeen O. Olusi,UPN,Lagos South,13/10/36,GCE O/L
Abdullahi Isah,NPN,Mariga,1938,
Akin Ogunseye,UPN,Lagos South II,07/01/29,
Idris Ibrahim,,Minna-North,,
Olagbolahan Ijaola,UPN,Lagos North-East,28/09/33,
Abdurrahman H. Enaji,NPP,Lavun,,
Dele Fayemi,UPN,Badagry,,
Mohammed G. Doko,NPN,Bida-South,05/08/32,
T. O. Badejo,UPN,Mushin Central I,29/03/36,Grade II Teacher's Cert
Suleiman Aliyu,NPN,Magama,22/04/40,
Abiola Babatope,UPN,Mushin Central II,29/09/47,B.sc Geography
Rasheed A. Shitta-Bey,UPN,Lagos North-Central,,
M. A. Amzart,UPN,Ikorudu,20/03/35,
G. B. Sadiku,UPN,Epe,,
Adekunle L. Alli,UPN,Lagos-South,14/03/34,
