Name,Party,Constituency,Date of Birth,Education
Okere Tony Eze,APP,"Ohaji/Egbema, Oguta, Oru-West",28/02/1960,Bachelor Degree (B.Sc) in Applied Science
Cajethan O. Dike,APP,Orlu/Oru/Oru East,14/07/1962,Bachelor Degree in Business Administration
Tony Anyanwu,PDP,Ahiazu Mbaise/Ezinihitte,16/04/1964,Bachelor of Law Degree
Ibekwe Maurice Obasi,PDP,Okigwe North,13/06/1952,Diploma
Ezeamo Nnamdi Thank God,PDP,Ideato North/South,27/07/1959,Master Degree
Nwole Uchenna,PDP,Mbaitolu/Ikeduru,10/03/1959,Bachelor Degree in Engineering
Levi Oguike,PDP,Owerri Municipal/ Owerri North/West,20/12/1945,Master Degree in Quantity Surveying & Estate Mgt.
Nwajiuba Chukwuemeka U.,PDP,Ehimembano/Ihitt Uboma/Obowa,20/08/1967,Bachelor of Law Degree
Abdullahi A. Gumel,PDP,Gumel/Maigatari/Sule Tankarkar/Gagarawa,20/04/1949,Post Graduate Diploma in Public Policy & Admin.
Moh'd Yahaya Birnin-Kudu,PDP,Birnin-Kudu/Buji,21/09/1962,HND in Land Surveying
Ibrahim G. Abubakar,PDP,Malammadori/ Kaugama,12/06/1948,Bachelors Degree in Television/Radio
Sani Abubakar Aliyu,APP,Babura/Garki,15/02/1959,Bachelor of Law Degree
Bashir Adamu,APP,Kazaure/Roni/Gwiwa/ Yankwarshi,12/04/1960,Bachelor Degree in Political Science/Hausa
Magaji Inuwa,APP,Jahun/Miga,1958,OND
Safiyanu Uba Taura,APP,Taura/Ringim,1959,Secondary School Cert.
Abdul'aziz Usman,APP,Birniwa/Guri/ Kirkasamma,01/01/1962,HND Agricultural Extension & Management
