Name,Party,Constituency,Date of Birth,Education
Sabiu Hassan Makera,PDP,Dutsin-ma/Kurfi,1953,NCE
Shuaib Yahaya Baure,PDP,Baure/Zango,12/10/1960,One-year Post Secondary Education
Musa Nuhu Abdullahi,PDP,Kaita/Jibia,05/10/1961,GCE 'O' Level
Lawal Ibrahim Funtua,PDP,Funtua/Dandume,1952,Bachelors Degree in Social Science (Government)
Aliyu Musa,PDP,Mani/Bindawa,12/12/1957,Bachelors Degree in Political Science and History
Amina Yakubu Safana,PDP,Safana/Batsari/ Dan-Musa,1960,OND Diploma
Lawal Yusufu Yankara,PDP,Kankara/Faskari/ Sabuwa,12/12/1962,Masters Degree in Architecture
Usman Mani Nasarawa,PDP,Kankia/Ingawa/Kusada,07/02/1952,HND in Town Planning
Abubakar Sadiq Yar'Adua,PDP,Katsina Central,,
Aminu Bello Musari,PDP,Malumfashi/Kafur,"May, 1950",PGD
Sani Udu,PDP,Zuru/Fakai/Sakaba/ Danko Wasagu,1956,Doctor of Medicine Degree (MBBS)
Abdullahi K. Kamba,PDP,Arewa/Dandi,1942,Bachelors Degree (B.Sc) in Education
Bala Bawa Kaoje,PDP,Bagudo/Suru,20/09/1960,Masters in Engineering Degree (Structural)
Zailani Mohammed,PDP,Auri,22/07/1951,HND in Accountancy
Bashir Bala,PDP,Koko/Besse-Maiyama,1956,HND in Accountancy
Bello Bagudu,APP,Koko/Besse-Maiyama,15/06/1960,HND in Building
