Name,Party,Constituency,Date of Birth,Education
F. C. Adigwe,NPP,Akwa,05/11/43,
I. U. Chima,NPP,Ezza,02/02/50,
E. C. Emekaekwue,NPP,Onitsha South,24/06/27,
J. C. Emeka,NPN,Anambra North,,
J. C. Eze,NPP,Uzo-Uwani,24/11/32,
C. A. Modebe,NPP,Awka,11/04/32,
F. E. Ndukwe,NPP,Ihiala,23/03/31,
J. C. Ngwu,NPP,Isi-Uzo,,
Francis N. C. Nwandison,NPP,Orji River/Agwu South,10/10/40,Type writing & Stenography
Nwegede Nwangbo,NPP,Ishielu East,1935,
Andrew O. Nwankwo,NPP,Abakaliki North/West,25/07/43,"Higher Diploma in Econs, B.Sc Marketing."
Eddy Nkem Nweke,NPP,Nkanu,1939,Diploma in Electrical/Electronic Engineering
M. G. Alo Nwankocha,NPP,Abakaliki East-Central,20/06/49,
Aka Ogbobe,NPN,Igbo-Etiti,"August, 1932",Diploma in Structure Engineering
Juventus C. Ojukwu,NPP,Idemili,02/06/42,Cert in Public Relations
Nweke Ayigor Okeazu,,Ikwo,,
