Name,Party,Constituency,Date of Birth,Education
Imeh J. Ikpatt,NPN,Etinan,06/08/40,
Okon Ikpeme,NPN,Akamkpa,12/08/1930,Teacher Higher Elementary Cert.
Alfred A. Inoh,GNPP,Ikot Abasi II,15/01/46,"City & Guilds, Cert in Automobile Engineering."
Edet Udo Umo,NPN,Ikono,09/10/31,
Ekok Ojogu,NPN,Ikom,05/02/40,"Grade II & III Teacher's Cert, M.Sc Pol. Science"
Lekam Ofem Okoi,NPN,Obubra II,02/02/40,"L.L.B, B.L"
Effiong Ononokpono,UPN,Oron I,11/11/41,"Dip. Co-operative & Labour Mgt, Cert in Social Studies & Dev"
Martin O. Effiong,UPN,Oron III,12/06/45,Diploma in Agric
Akaninyene Ukpanah,NPN,Ukanafun,12/08/1934,"NPS, Diploma Pharmacy"
David Akan Ukpong,NPN,Itu,1947,Teacher's Grade II Cert.
M. B. Ukpong,NPN,Abak,29/09/1940,
A. Akpan Umoren,NPN,Ikot Epene II,04/10/34,
Emmanuel A. Utande,NPN,Obudu,20/02/43,"B.Sc, M.A, Ph.D"
Agya Agbujoro,NPN,Wukari,1940,Diploma in Education Planning & Admin
Gbaaondo H. David,,Takum,1949,Teacher Grade II Cert.
Hamman Diko,GNPP,Maiha,1939,
