Name,Party,Constituency,Date of Birth,Education
A. Usman,,Ankpa North,,
Umar Bukar,GNPP,Ngala East,1948,
Joseph K. Ugo,NPN,Gwer East,31/12/43,Diploma in Law
Agwana Apagu Waba,NPN,Askira Uba,18/10/46,
S. M. Tarka,NPN,Gboko West,23/08/53,
Gambo Alhaji,GNPP,Gujba,"May, 1922",
E. K. Swem,NPN,Kwande West,1927,
Ibrahim M. Ali,GNPP,Maiduguri,1948,
Isaac Shaahu,,Kwande East,,
Bulama Ali,GNPP,Fune,10/12/48,
Peter Kor,NPN,Makurdi,09/11/36,
Abba Ali,GNPP,Bama,1932,
V. Iortim,NPN,Makurdi,1948,
S. O. Adoyi,NPN,Okpokwu West,21/02/41,Diploma in Public Health
S. I. Idakwo,NPN,Idah North,01/11/1936,
J. U. Uyeh,NPN,Vandeikya East,20/04/32,
