Name,Party,Constituency,Date of Birth,Education
Idrissa Madi Tikau,,Fika North,,
Kolo Lawan Yusuf,GNPP,Geidam North,01/01/54,
Charles A. Adoga,NPN,Ogoja,13/03/1930,School Cert.
Cornelius Okpa Agbor,NPN,Obubra I,31/04/41,B.A History
Micheal J. Akpabio,GNPP,Uyo II,24/05/42,"LLB, BL"
A. U. Awa-Ekpo,NPN,Eket II,22/12/1937,"M. Sc, MPA"
Samuel Udo Bassey,,Eket II,,
Okon E. Eddy,NPN,Ikot Ekpene I,30/09/39,
Effiom-Ita Effiom,NPN,Odukpani,03/03/36,
Okon John Ekpenyong,,Uyo I,,
Edet Asuquo Ekpo,,Uyo III,1923,
V. U. Ekpo,NPN,Ikot-Abasi I,05/05/33,
D. O. Eshiet,,Ukanafun II,,
Edet Bassey Etienam,NPN,Oron II,22/01/1939,Cert in Industrial Relation
Thomas Ekpo Etuk,NPN,Eket III,26/06/35,
Asuquo E. Eyo,NPN,Calabar,01/05/23,
