Member,Party,State,Constituency
Nwofe Alexander,PDP,Ebonyi,Abakaliki / Izzi
Elem Francis,ANPP,Ebonyi,Ezza South / Ikwo
Ogodo Patience Uwa,PDP,Ebonyi,Ebonyi / Ohaukwu
Aziegbemi Anthony,PDP,Edo,Esan South East / Esan North East
Abubakar Momoh,PDP,Edo,Etsako
Jim Aiku Adun,PDP,Edo,Egor / Ikpoba Okha
Oroh Abdul Shaibu,PDP,Edo,Owan
Tunde Akogun,PDP,Edo,Akoko Edo
Gabriel Ehimen Oiboh,PDP,Edo,Esan Central / Esan West / Igueben
Odubu Egberanwen Pius,PDP,Edo,Orhionmwon / Uhunmwonde
West-Idahosa Ehiogie,PDP,Edo,Ovia North East / Ovia South West
Emmanuel Arigbe-Osula,ANPP,Edo,Oredo
Yemi Arokodare,PDP,Ekiti,Ekiti Central II
Akindahunsi Titilayo (Mrs),PDP,Ekiti,Ekiti South II
Faseyi Samuel Duro,PDP,Ekiti,Ekiti
Samuel Adeyemi,PDP,Ekiti,Ekiti Central I
Talabi Abiodun Ajayi,PDP,Ekiti,Ekiti South I
Dada Olufemi Adebayo,AD,Ekiti,Ekiti North I
Oguakwa,PDP,Enugu,Aninri / Awgu / Oji River
Igwesi,PDP,Enugu,Nkanu East / Nkanu West
Ogbuefi Ozomgbachi,PDP,Enugu,Udi / Ezeagu
Ugwu Charles Onyekachi,PDP,Enugu,Nsukka / Igbo Eze South
Ugwuanyi Ifeanyi,PDP,Enugu,Udenu / Igbo Eze North
Martins George Oke,PDP,Enugu,Igbo Etiti / Uzo Uwani
Gilbert Emeka Nnaji,PDP,Enugu,Enugu East / Isi Uzo
Gordi Agbo,PDP,Enugu,Enugu North / Enugu South
Phillip Tanimu Aduda,PDP,Federal Capital Territory,AMAC / Bwari
Ado Sidi Ali,ANPP,Federal Capital Territory,Abuja South
Charles Iliyas,ANPP,Gombe,Billiri / Balanga
Adamu Gorah Kaiba,ANPP,Gombe,Kaltungo / Shongom
Bayero Usman Nafada,ANPP,Gombe,Dukku / Nafada
Mohammed Suleiman,ANPP,Gombe,Akko
Usman Bapparu,ANPP,Gombe,Gombe / Funakaye / Kwami
Idris Umar,PDP,Gombe,Yamaltu/Deba
Bethel Nnaemeka Amadi,PDP,Imo,Mbaitoli / Ikeduru
Nwogu Chidi Emmanuel,,Imo,Nkwerre / Isu / Nwangele / Njaba
Ihedioha Nkem,PDP,Imo,Aboh Mbaise / Ngor Okpala
Ojinika Geff Chizee,PDP,Imo,Orlu / Orsu / Oru East
Osita Izunaso,PDP,Imo,Ohaji/Egbema / Ogulta / Oru West
Ogunewe Independence,PDP,Imo,Ahiazu / Ezinihitte
Francis Amadiegwu,PDP,Imo,Okigwe South
Patricia N. Udogu,PDP,Imo,Ideato North / Ideato South
Onyeagucha Uchechukwu,APGA,Imo,Owerri
Maurice Ibekwe,,Imo,Okigwe
Anwalu Kila,ANPP,Jigawa,Gwaram
Saido Miga,ANPP,Jigawa,Jahun / Miga
Safiyanu Taura,ANPP,Jigawa,Ringim / Taura
Yusuf Saleh Dunari,ANPP,Jigawa,Malam Madori / Kaugama
